feature,importance
avg_trip_miles,0.1479153827102798
avg_fare_per_mile,0.14434327997383478
avg_response_time_min,0.12727706661679833
avg_driver_pay_per_minute,0.10391742150873357
zone_id,0.09439061033369828
hour,0.0937204141413915
lag_1_hour_order_count,0.08828192268163006
rolling_24_hour_order_count,0.059078674036471504
month,0.04802297968411107
weekday,0.037336545637906796
rolling_3_hour_order_count,0.027447489798400854
lag_7_day_order_count,0.012196973613181793
lag_24_hour_order_count,0.008333486812085613
is_weekend,0.007737752451476125
