trip_distance_group,hour_group,policy_period,order_count,avg_fare_per_mile,avg_fare_per_minute,avg_tolls,avg_cbd_congestion_fee,avg_driver_pay_per_mile,avg_driver_pay_per_minute,driver_pay_to_fare_ratio
短途(0-2英里),夜间,政策前,810,11.289876823992621,1.7430787212185095,0.003074074074074074,0.0,8.479642067460434,1.2806671936536325,0.7360222134692236
短途(0-2英里),夜间,政策后,1000,10.65680041980062,1.8360418952588868,0.01196,0.3675,6.518350976664085,1.1108334334764631,0.6211699476303577
短途(0-2英里),早高峰,政策前,1104,10.331509971974738,1.5390324175430214,0.0014221014492753624,0.0,7.501746014021158,1.0965079333515022,0.7318539896543552
短途(0-2英里),早高峰,政策后,1794,11.029586412555586,1.6004309690405418,0.004632107023411372,0.3695652173913043,6.954065170156853,0.9922669667224138,0.6417435596636468
短途(0-2英里),日间,政策前,2327,11.58206886975341,1.4475615084619204,0.0019467125053717234,0.0,8.006224967077072,0.9792224166641459,0.690504345126731
短途(0-2英里),日间,政策后,3471,11.307302435106076,1.4716430716461637,0.0018985883030826851,0.42048401037165084,7.131918995680796,0.9144491858497125,0.6478102466061884
短途(0-2英里),晚高峰,政策前,1650,12.302111972216291,1.5501020508671648,0.0012545454545454548,0.0,8.437069901709783,1.064184053048703,0.6967192620323104
短途(0-2英里),晚高峰,政策后,2662,11.258037517985862,1.53410488757483,0.0013598797896318558,0.4564237415477085,7.119627221489825,0.9621827150084751,0.6468025596003568
短途(0-2英里),深夜,政策前,1512,12.009441580737809,1.7340858073001424,0.001884920634920635,0.0,8.837545008670936,1.2694597705349275,0.7348684572830357
短途(0-2英里),深夜,政策后,1577,11.438498321279848,1.6804725841261756,0.0023779327837666455,0.4755865567533291,7.264194404550622,1.0557950507497489,0.6455035793529584
中途(2-8英里),夜间,政策前,1362,5.8406696512688585,1.436790626881272,0.6145007342143907,0.0,4.4688837989256385,1.10271492506074,0.7745203871769735
中途(2-8英里),夜间,政策后,1579,5.648995870360921,1.4436161711808089,0.6393666877770741,0.5633312222925903,4.080818816357343,1.044224045436847,0.7348392721265034
中途(2-8英里),早高峰,政策前,1427,5.962630537592084,1.2579485126288228,0.37838121934127544,0.0,4.654440015550496,0.9741139234664423,0.7864845043092876
中途(2-8英里),早高峰,政策后,2176,6.227571306084994,1.2907453665188768,0.4379273897058824,0.46530330882352944,4.677899827990521,0.9577782886499375,0.7619080463469832
中途(2-8英里),日间,政策前,2864,6.621849822143945,1.181500627983355,0.4521857541899441,0.0,5.1334865191661905,0.9100689883494691,0.7864325470278164
中途(2-8英里),日间,政策后,3926,6.405808571322132,1.2141010291028513,0.42469943963321444,0.489047376464595,4.858826487580567,0.9165473249908682,0.7742653301202788
中途(2-8英里),晚高峰,政策前,1998,6.632659144431028,1.192439215470542,0.6504304304304304,0.0,5.2419526878232166,0.9470435193206009,0.8021021013901797
中途(2-8英里),晚高峰,政策后,3151,6.5561999360515255,1.2585181363928422,0.5998857505553793,0.5874325610917169,4.88171193320634,0.9412400388951327,0.761204855030067
中途(2-8英里),深夜,政策前,2049,6.19888256917331,1.3236395954548328,0.5943777452415813,0.0,4.848059050381076,1.0367824591564654,0.7952963775622568
中途(2-8英里),深夜,政策后,2232,6.039828254001469,1.3464990139664126,0.7413754480286738,0.6088709677419355,4.500012057331154,1.0048943432893571,0.7563380776428524
长途(8+英里),夜间,政策前,692,3.575571608058085,1.6217285688902983,4.695606936416185,0.0,2.906433537091161,1.3146532985239732,0.8146671845651677
长途(8+英里),夜间,政策后,814,3.732418779546459,1.7083576519815555,4.097702702702703,0.7113022113022113,2.9174626270127084,1.3264886572915464,0.7865179092969461
长途(8+英里),早高峰,政策前,674,4.051624381870808,1.5726181115379319,4.954436201780416,0.0,3.202425573645674,1.2303992253313933,0.7920146801251882
长途(8+英里),早高峰,政策后,882,4.132330198329975,1.5695032718247035,4.3392403628117915,0.6530612244897959,3.2028167672962335,1.2050765468860936,0.7829633065111549
长途(8+英里),日间,政策前,1180,4.515781121694489,1.420019714298997,5.548618644067797,0.0,3.576773671346217,1.119959146309755,0.7904196590783383
长途(8+英里),日间,政策后,1625,4.352212134110118,1.492847327614844,5.094566153846154,0.7153846153846154,3.412050930504536,1.1633702445251377,0.7886175121489085
长途(8+英里),晚高峰,政策前,655,4.224440848752351,1.4294657471770575,5.002351145038168,0.0,3.4437591911012246,1.1561430195658564,0.8050093893366834
长途(8+英里),晚高峰,政策后,1058,4.014743831914169,1.474820125983756,4.852069943289225,0.6904536862003781,3.271218919661828,1.1886467958389988,0.8075500952080021
长途(8+英里),深夜,政策前,847,3.652680403840635,1.4755071303328275,4.211097992916175,0.0035419126328217238,3.126569767633679,1.2485507161991847,0.8444953247552254
长途(8+英里),深夜,政策后,888,3.676699974814273,1.5592839907137208,4.005022522522522,0.6722972972972973,3.057391860221295,1.2742215809025677,0.8164161746325089
