dropoff_zone,dropoff_borough,dropoff_order_count
Outside of NYC,,2113
JFK Airport,Queens,1000
LaGuardia Airport,Queens,978
Crown Heights North,Brooklyn,713
Bushwick South,Brooklyn,595
East Chelsea,Manhattan,550
East New York,Brooklyn,548
East Village,Manhattan,530
Midtown Center,Manhattan,514
Park Slope,Brooklyn,495
West Chelsea/Hudson Yards,Manhattan,491
Greenpoint,Brooklyn,480
Astoria,Queens,470
Union Sq,Manhattan,460
Williamsburg (North Side),Brooklyn,459
Murray Hill,Manhattan,458
Times Sq/Theatre District,Manhattan,458
Bedford,Brooklyn,432
Williamsburg (South Side),Brooklyn,432
TriBeCa/Civic Center,Manhattan,427
