pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min
LaGuardia Airport,Queens,934,5.831617262594339,1.2220027251536922,5.97020273455917
JFK Airport,Queens,852,4.098864030647862,1.274860221868503,6.338905325443788
Crown Heights North,Brooklyn,673,7.314352048368934,0.9522177889996556,4.360723270440252
East Village,Manhattan,645,9.37514859433744,1.0670752092796985,3.37928870292887
Times Sq/Theatre District,Manhattan,584,11.158395319346077,1.1249982460664074,4.024946695095949
Midtown Center,Manhattan,577,12.01359980655411,1.1255188687077968,4.33707627118644
TriBeCa/Civic Center,Manhattan,545,10.12546461543712,1.1275016722437357,2.7438862928348913
East Chelsea,Manhattan,532,9.744571482847588,1.0616810043060396,3.430521091811414
Bushwick South,Brooklyn,530,7.431062125971528,0.9787555550225238,3.825040650406504
Clinton East,Manhattan,530,9.278316133229445,1.0498381468996725,3.75
East New York,Brooklyn,515,6.615858315550777,0.9761916124875173,3.776898481215028
Lower East Side,Manhattan,508,8.79929775838858,1.0707932783240788,3.7789428815004262
Union Sq,Manhattan,506,10.469354859207868,1.072428814108731,3.2660685805422647
Midtown South,Manhattan,492,11.331795585933051,1.1086827727119466,3.7039134438305705
West Chelsea/Hudson Yards,Manhattan,489,10.444619329733225,1.0702116161565212,3.593760907504363
Murray Hill,Manhattan,485,9.42817250799787,1.041900149735657,3.239807162534435
Astoria,Queens,484,6.610935101970005,0.9928726914069963,3.0259548611111113
Park Slope,Brooklyn,472,7.2062408362129515,0.9781611577416685,3.336183574879227
Williamsburg (North Side),Brooklyn,465,9.052295455664149,1.0532035753719804,3.22263483642794
Greenpoint,Brooklyn,457,7.46226654047771,0.9866548936612063,3.7311416921508664
